,articleID,headline,multimedia,newDesk,typeOfMaterial
40,5ade301d068401528a2aa3a7,Money Pouring Into Wisconsin For a Key Race  ,65.0,Politics,News
41,5ade2db2068401528a2aa3a3,"For Trump and Kim, High Stakes and Mismatched Motives",68.0,Foreign,News
42,5ade2860068401528a2aa38f,"On Sidewalk, Van Cuts Down 10 in Toronto",68.0,Express,News
43,5ade1cb8068401528a2aa371,A Pope Given to Apologies Has Nothing for Indigenous Canada,68.0,Foreign,News
44,5ade101e068401528a2aa344,Europe?™s Leaders Will Urge Trump To Save Iran Deal,68.0,Washington,News
45,5ade05c2068401528a2aa32c,"Craft Distillers, Facing Lower Taxes, Invest in Themselves",66.0,Dining,News
46,5ade0309068401528a2aa322,"?˜Avengers,??the Most Lucrative Movie Franchise Ever, Is Wrapping Up. Why?",68.0,Arts&Leisure,News
47,5ade0308068401528a2aa320,Taking On Genital Reconstruction,68.0,Science,News
48,5addfc74068401528a2aa317,What the Heck Is That?: UTNE,62.0,Games,News
49,5addfaee068401528a2aa310,Unknown,68.0,Dining,News
50,5addf0dc068401528a2aa2f0,Frontier States,68.0,BookReview,Review
51,5adde6e8068401528a2aa2cb,"Mirror, Mirror in Denial",68.0,Culture,News
52,5addda95068401528a2aa2aa,Unknown,68.0,National,News
53,5addd996068401528a2aa2a7,Unknown,68.0,NYTNow,briefing
56,5addaea4068401528a2aa238,Unknown,66.0,Metro,briefing
57,5addaea4068401528a2aa239,"Helping Kids With A.D.H.D., and Their Families, Thrive",66.0,Well,News
58,5addaeb3068401528a2aa23b,The Debate Persists Over G.M.O. Foods,66.0,Well,News
59,5addab21068401528a2aa22f,So Long to Music City?™s Favorite Soap Opera,68.0,OpEd,Op-Ed
60,5addab22068401528a2aa230,It?™s Westworld. What?™s Wrong With Cruelty to Robots?,68.0,OpEd,Op-Ed
61,5adda79b068401528a2aa22b,"What?™s Going On in This Picture? | April 23, 2018",66.0,Learning,News
62,5adda09c068401528a2aa217,Against All Odds,68.0,Science,News
63,5adda09b068401528a2aa215,Shopping for Multilevel Coffee Tables,68.0,RealEstate,News
64,5adda099068401528a2aa214,The Whisky Chronicles,68.0,Travel,News
65,5adda094068401528a2aa211,Officials??New Plan to Fix Subway: Let?™s Use Unproven Technology,68.0,Metro,News
66,5adda093068401528a2aa210,Cancer Label On Coffee Has Its Own Risks,68.0,Upshot,News
67,5add91e9068401528a2aa1ee,A Special Delivery In Britain: It?™s a Prince,68.0,Foreign,News
68,5add8477068401528a2aa1d6,"Setting Tone for Post-Presidency, Obama Will Share Message of Tolerance",67.0,Washington,News
69,5add8477068401528a2aa1d5,"For Politicians Scraping Bottom, a Scarce Resource: Impeachment Lawyers",65.0,National,News
70,5add8224068401528a2aa1d1,The One Fight This Referee Won?™t Stop,68.0,Sports,News
71,5add76db068401528a2aa1b6,How Do You Feel About Being Told to Smile?,68.0,Learning,News
72,5add56c8068401528a2aa181,"Sudan Blocks Migrants??Path, Aiding Europe",68.0,Foreign,News
73,5add510f068401528a2aa17d,?˜A Peaceful Mood??as the 2 Koreas Meet,66.0,Foreign,News
74,5add4c34068401528a2aa178,"?˜Billions??Season 3, Episode 5 Recap: The Family We Choose",67.0,Culture,Review
75,5add41aa068401528a2aa172,?˜Westworld??Season 2 Premiere: Truth and Consequences,67.0,Culture,Review
76,5add3aa6068401528a2aa16b,His Majesty of Magic,68.0,Culture,Review
77,5add3aa5068401528a2aa16a,"Rhyme Gone Wild, in a 1738 Kind of Way",68.0,Culture,Review
78,5add2004068401528a2aa14b,Public Servants Losing Foothold In Middle Class,68.0,Business,News
79,5add1d6d068401528a2aa149,A Time for  Big Economic  Ideas,68.0,OpEd,Op-Ed
80,5add197f068401528a2aa147,"Thank Trump, or You?™ll Be Sorry",68.0,OpEd,Op-Ed
81,5add152e068401528a2aa141,Mr. Mueller?™s Swamp Guide,65.0,Editorial,Editorial
82,5add13c7068401528a2aa13d,America  Abhors  Impeachment,68.0,OpEd,Op-Ed
83,5add1387068401528a2aa13b,Missing History at Columbia,68.0,OpEd,Op-Ed
84,5add08b6068401528a2aa12d,Buried in the Gaza Graveyard Where He Played Dead,68.0,Foreign,News
85,5add05e5068401528a2aa128,Lead Off,68.0,Games,News
86,5add05e5068401528a2aa129,Sidewalk Rescue,0.0,Metro,News
87,5adcec5a068401528a2aa10d,Cuomo vs. de Blasio: One of the Country?™s Ugliest Political Feuds,68.0,Metro,News
88,5adcdb2e068401528a2aa0f6,Dodging Tariffs With a Handy Detour,68.0,Business,News
89,5adcc006068401528a2aa0c2,Steel Tariffs and Wages (Painfully Wonkish),68.0,OpEd,Op-Ed
90,5adcb974068401528a2aa0b6,China Left Out As Kim Plans To Talk to Foes,66.0,Foreign,News
91,5adcaffc068401528a2aa0ad,A Tribute to Uwe Reinhardt,65.0,OpEd,Op-Ed
92,5adca0b3068401528a2aa098,Unknown,68.0,Metropolitan,News
93,5adc24eb068401528a2aa01d,"Revisiting the Open Era?™s Forgotten Home, Still Cold and Wet",68.0,Sports,News
94,5adbd7d3068401528a2a9fd0,Pluses and Minuses,68.0,Games,News
95,5adb9370068401528a2a9f8c,A Survival Bid  By Rosenstein  May Be Costly,68.0,Washington,News
96,5adb8334068401528a2a9f74,The Opioid Crisis Foretold,68.0,Editorial,Editorial
97,5adb8331068401528a2a9f70,The Business Deals That Could Imperil Trump,68.0,OpEd,Op-Ed
98,5adb8330068401528a2a9f6f,Adapting to American Decline,68.0,OpEd,Op-Ed
99,5adb8330068401528a2a9f6d,The Republicans??Big Senate Mess,67.0,OpEd,Op-Ed
100,5adb8330068401528a2a9f6e,States Are Doing What Scott Pruitt Won?™t,68.0,OpEd,Op-Ed
101,5adb832f068401528a2a9f6c,"Fake Pearls, Real Heart",67.0,OpEd,Op-Ed
102,5adb832c068401528a2a9f6b,Fear Beyond Starbucks,68.0,OpEd,Op-Ed
103,5adb6007068401528a2a9f44,Variety: Puns and Anagrams,0.0,Games,News
104,5adb5fe8068401528a2a9f43,E.P.A. Chief?™s Ethics Woes Have Echoes in His Past,68.0,Investigative,News
105,5adb5363068401528a2a9f2f,Democrats Push Some To Bow Out,67.0,Politics,News
106,5adb535d068401528a2a9f2e,Where Facebook Rumors Fuel Thirst for Revenge,68.0,Foreign,News
107,5adb43e9068401528a2a9f19,The House Next Door Is an Airbnb. Here?™s What You Can Do About It.,56.0,RealEstate,News
108,5ada9b24068401528a2a9e88,Punch the Air,68.0,Games,News
109,5ada9064068401528a2a9e80,"Caution, Babies Voting",67.0,OpEd,Op-Ed
110,5ada8fda068401528a2a9e7f,Childbirth?™s Dangers for Black Women,66.0,Editorial,Editorial
111,5ada8875068401528a2a9e7c,A Man Set Himself on Fire. We Barely Noticed.,66.0,OpEd,Op-Ed
112,5ada7dfc068401528a2a9e6c,Why Men Quit and Women Don?™t,66.0,OpEd,Op-Ed
113,5ada7cea068401528a2a9e6b,Jewish Power At 70 Years,68.0,OpEd,Op-Ed
114,5ada4fb1068401528a2a9e05,"Here to Help; A Word on Phrasing: ?˜Just Deserts??""['Spelling'",68.0,NewsDesk,News
116,5ada2dc4068401528a2a9daf,Punching Bag  For President  Now Has Clout,66.0,Washington,News
117,5ada228a068401528a2a9d91,A Provocateur in a Blood-Dripping Appearance,68.0,Culture,Review
118,5ada1068068401528a2a9d57,Democratic Party Files a Lawsuit Alleging a Trump-Russia Conspiracy,68.0,Washington,News
119,5ada0fb5068401528a2a9d52,Unknown,68.0,Dining,News
120,5ada0b32068401528a2a9d3d,Justice Dept. Is Seen as Divided On Rights Case in Garner Killing,68.0,Washington,News
122,5ada0827068401528a2a9d29,?˜Full-On Propaganda??From Inside C.I.A. on Pick for Director,68.0,Washington,News
123,5ada04af068401528a2a9d1d,Unknown,68.0,Dining,News
124,5ad9f268068401528a2a9ceb,Two Twisting Towers Come to the Far West Side,68.0,RealEstate,News
125,5ad9efb1068401528a2a9ce1,"With Deal, Wells Fargo Will Pay Big Penalty",68.0,Business,News
126,5ad9edcc068401528a2a9cd8,"Once Known for Mayhem, East New York Is a ?˜Killing Fields??No More",68.0,Metro,News
127,5ad9e70b068401528a2a9cc3,Unknown,60.0,National,briefing
128,5ad9e45c068401528a2a9cb9,A Familiar Place Becomes Home,66.0,RealEstate,News
129,5ad9d182068401528a2a9c85,"?˜RuPaul?™s Drag Race?? Season 10, Episode 5: Getting to 50",63.0,Culture,News
130,5ad9ba61068401528a2a9c40,Unknown,68.0,Well,Question
131,5ad9ba28068401528a2a9c3f,Unknown,68.0,Metro,briefing
132,5ad9ba24068401528a2a9c3b,Nobody Tells You How Long a Marriage Is,67.0,Well,News
133,5ad9b881068401528a2a9c35,"Big Egos, Politics And Lack Of Trust",68.0,Washington,briefing
134,5ad9b6a9068401528a2a9c31,Cynthia Nixon Can Save the Democrats (From Themselves),67.0,OpEd,Op-Ed
135,5ad9b6a3068401528a2a9c30,Unknown,68.0,OpEd,Op-Ed
136,5ad9b6a2068401528a2a9c2f,The Repetitive Insanity Along the Gaza Fence,68.0,OpEd,Op-Ed
137,5ad9b32e068401528a2a9c25,Can It Happen Here?,68.0,BookReview,Review
138,5ad9b0eb068401528a2a9c23,North Korean Promise to Hault  Nuclear Testing,65.0,Foreign,News
139,5ad9ac98068401528a2a9c19,"Four Families, One Mission: Space",68.0,RealEstate,News
140,5ad9ac27068401528a2a9c07,Candidates Are Embracing the ?˜S??Word,68.0,National,News
141,5ad9ac20068401528a2a9c00,G.O.P. Support Shows Cracks as Scott Pruitt?™s Ethics Inquiries Widen ,66.0,Climate,News
142,5ad9ac1f068401528a2a9bff,Can Sanctions Push the North Into Reforms?,68.0,Foreign,News
143,5ad9ac1b068401528a2a9bfc,Extra! Extra! He?™s Still Selling,68.0,Metropolitan,News
144,5ad9a7a4068401528a2a9bf0,Stephen Colbert Doesn?™t Want to Know More About Trump?™s Sex Life,66.0,Culture,News
145,5ad9a2b2068401528a2a9bde,Turning to Marijuana for a Runners??High and More,68.0,Well,News
146,5ad99ebd068401528a2a9bd7,Tarot Card Reading,68.0,Learning,News
147,5ad990a8068401528a2a9bc3,Is Your School?™s Dress Code Too Strict?,68.0,Learning,News
148,5ad985f5068401528a2a9ba5,Unknown,68.0,Washington,News
150,5ad981e8068401528a2a9b98,Global Track-and-Field Ban on Russia Shows No Sign of Letting Up. Here?™s Why.,68.0,Sports,News
151,5ad973d8068401528a2a9b7a,"?˜Atlanta??Season 2, Episode 8 Recap: Is Al Finally Ready to be Paper Boi?",66.0,Culture,News
152,5ad94d33068401528a2a9b43,The Place of Today?™s Puzzle,68.0,Games,News
153,5ad94cea068401528a2a9b41,Redacted Comey Memos Delivered to Lawmakers,68.0,Washington,News
154,5ad94622068401528a2a9b33,Eliza?™s in Charge This Time,68.0,Weekend,Review
155,5ad93673068401528a2a9b1c,The Equal Rights Amendment Returns,67.0,Editorial,Editorial
156,5ad92194068401528a2a9af9,The Great Snake Oil Slump,68.0,OpEd,Op-Ed
157,5ad91e7b068401528a2a9aee,Is Russia Sponsoring Terrorism?,68.0,OpEd,Op-Ed
158,5ad9117e068401528a2a9acb,Dawn at the Fulton Fish Market,0.0,Metro,News
159,5ad90ff0068401528a2a9ac6,?˜Deceived and Betrayed??Parents Of Slain Children Urge RÃ©sumÃ© Law,67.0,Metro,News
160,5ad90b81068401528a2a9ab9,Giuliani to Lend Legal Firepower As Trump?™s Team Adds Lawyers,68.0,Washington,News
161,5ad90a1e068401528a2a9ab4,The Parallels in Jake Tapper?™s New Novel,68.0,Business,News
162,5ad90793068401528a2a9aae,Olivia Pope?™s Pantsuit Nation,68.0,OpEd,Op-Ed
164,5ad8fd8b068401528a2a9a86,Officials to Lay a $1 Billion Fine on Wells Fargo,68.0,Business,News
165,5ad8fa2b068401528a2a9a77,Armstrong Agrees to Pay $5 Million In Fraud Case,66.0,Sports,News
166,5ad8f68d068401528a2a9a70,When Is It Safe to Eat Salad Again?,68.0,Well,News
167,5ad8eca6068401528a2a9a48,Case of Ex-F.B.I. Deputy Chief Is Sent for Possible Prosecution,66.0,Washington,News
168,5ad8e64d068401528a2a9a33,The Problem With Miracle Cancer Cures,67.0,OpEd,Op-Ed
169,5ad8c968068401528a2a99ec,"At Ho Foods, a Noodle Soup That Nourishes and Transports",68.0,Dining,Review
170,5ad8c1b9068401528a2a99c8,Pediatrician Who Gave Asperger Syndrome Its Name Is Tied to Nazi Killing of Children,66.0,Foreign,News
171,5ad8bd5b068401528a2a99ba,Bodies Remodeled for a Life at Sea,68.0,Science,News
172,5ad8b6a9068401528a2a99a6,"A New Restaurant, Frenchette, Stands Up for Natural Wines",68.0,Dining,News
173,5ad8b46c068401528a2a999c,Men Arrested At Starbucks Hope to Spur Talk on Race,68.0,Express,News
174,5ad8b369068401528a2a9994,What #MeToo Means to Teenagers,68.0,Well,News
175,5ad8a0ec068401528a2a9948,Here?™s $1 Million. Now Make Your Movie.,68.0,Arts&Leisure, 'Prices (Fares
176,5ad89906068401528a2a992d,"Cuba?™s New Leader: Progressive, Hard-Liner, Enigma",68.0,Foreign,News
177,5ad894e8068401528a2a9921,"In a Hot Global Economy, a Surplus of Frowns",68.0,SundayBusiness,News
178,5ad892ea068401528a2a9917,Unknown,68.0,RealEstate,News
179,5ad89093068401528a2a990f,Unknown,66.0,NYTNow,briefing
180,5ad87d23068401528a2a98d6,An Olive Branch By North Korea Is Viewed Warily,68.0,Foreign,News
182,5ad87bd5068401528a2a98cf,Standardized Tests,67.0,Learning,News
183,5ad87bb9068401528a2a98ce,Should All Companies Require Anti-Bias Training for Employees?,68.0,Learning,News
184,5ad868a6068401528a2a9893,Unknown,68.0,Metro,briefing
185,5ad868a7068401528a2a9894,The Goal? Sowing Literature,68.0,Weekend,News
186,5ad868a5068401528a2a9892,Imaginative Caregiving for the Cancer Patient,68.0,Well,News
187,5ad86523068401528a2a9889,The Democrats??Gentrification Problem,68.0,OpEd,Op-Ed
188,5ad85aa1068401528a2a9874,Lighting The Way For Others To Shine,68.0,Arts&Leisure,News
189,5ad85aa0068401528a2a9872,"Landscapes, Art and Aliens",68.0,Travel,News
190,5ad85a9d068401528a2a986c,"For Better, for Worse and Things You Can?™t Remember",68.0,National,News
191,5ad85a9e068401528a2a986d,"Marriage, a Path to Citizenship, Becomes a Road to Deportation",68.0,National,News
192,5ad85a9d068401528a2a986a,36 Hours in Lisbon,68.0,Travel,News
193,5ad85a9c068401528a2a9869,How Janelle MonÃ¡e Found Her Voice,68.0,Magazine, 'Tolls'
194,5ad8354a068401528a2a9825,"Damage to Great Barrier Reef From Global Warming Is Irreversible, Scientists Say",68.0,Foreign,News
195,5ad3e696068401528a2a8d4b,"Dislike Comey,  Despise Trump",68.0,OpEd,Op-Ed
196,5ad3e37c068401528a2a8d47,"Democrats, the Real Fiscal Conservatives",68.0,OpEd,Op-Ed
197,5ad3d97a068401528a2a8d41,New Tales of Old Persia Unfolding in New York,67.0,Culture, 'Addiction (Psychology)'
198,5ad3cb63068401528a2a8d2f,Creative Start,68.0,Games,News
199,5ad3cb64068401528a2a8d30,Other End of the Leash,0.0,Metro,News
200,5ad3c382068401528a2a8d21,Choosing a Road Fit for Dr. King,68.0,National,News
201,5ad3ba60068401528a2a8d15,"Syrian Strike Attracts Talk, Not Changes",68.0,Foreign,News Analysis
202,5ad3a8ca068401528a2a8d00,The Real Next War in Syria: Iran vs. Israel,68.0,OpEd,Op-Ed
203,5ad3a684068401528a2a8cfd,"Comey, in Interview, Launches All-Out War Against President",67.0,Washington,News
204,5ad3a5e5068401528a2a8cfb,"Barbara Bush, Gravely Ill,  Opts to Halt Treatment",66.0,Washington,News
205,5ad39c1b068401528a2a8cf1,Trump to Punish  Russia for Aiding  Attack by Syria,68.0,Washington,News
207,5ad31499068401528a2a8c37,"Homes That Sold for Around $600,000",64.0,RealEstate,News
208,5ad2ce48068401528a2a8bf9,A YouTuber Brings Tarot to the People,68.0,Styles,News
209,5ad279e4068401528a2a8bbc,Preposition Proposition,68.0,Games,News
210,5ad2b324068401528a2a8bea,I Can?™t Jump Ship From Facebook Yet,68.0,OpEd,Op-Ed
211,5ad248b8068401528a2a8b85,Mom Is Running for Office,66.0,OpEd,News Analysis
212,5ad248b3068401528a2a8b84,The Warrior  At The Mall,66.0,OpEd,Op-Ed
213,5ad248af068401528a2a8b82,Scrap Your To-Do List,68.0,OpEd,Op-Ed
214,5ad248af068401528a2a8b81,"Paul Ryan, Party Man",68.0,OpEd,Op-Ed
215,5ad248af068401528a2a8b80,A ?˜Black Tax??on Housing,66.0,Editorial,Editorial
216,5ad248af068401528a2a8b7f,Don?™t Call Me a Genius,67.0,OpEd,Op-Ed
217,5ad248ae068401528a2a8b7e,We Need an Exorcist!,68.0,OpEd,Op-Ed
218,5ad247bd068401528a2a8b7a,Strange Pension Math Leaves States in Pinch of Own Making,68.0,Business,News
219,5ad24407068401528a2a8b78,How Profiteers  Coax Women  Into Surgery,68.0,Business,News
220,5ad22583068401528a2a8b45,Variety: Acrostic,41.0,Games,News
221,5ad2238b068401528a2a8b40,?˜Mission Accomplished!??But What Is the Mission in Syria?,68.0,Washington,News Analysis
222,5ad20969068401528a2a8b14,What to Do When a Window Ledge Becomes a Nest for Pigeons,51.0,RealEstate,News
223,5ad1d827068401528a2a8ae0,U.S. Says Strikes Took Out ?˜Heart?? Of Assad Threat,67.0,Foreign,News
224,5ad1c31e068401528a2a8ab2,Salute the Signature. It?™s Signing Off.,68.0,SundayBusiness,News
225,5ad160a3068401528a2a8a34,Expressions of Affection,68.0,Games,News
226,5ad15236068401528a2a8a23,"The Republic, Republicans And Ryan",68.0,OpEd,Op-Ed
227,5ad14da5068401528a2a8a19,Trump Launches Strikes on Syrian Targets,68.0,Washington,News
228,5ad11cf0068401528a2a89c2,"Pull Yourself Together, Henry Higgins!",66.0,Arts&Leisure,News
229,5ad10ea0068401528a2a899a,The Power of Pictures: Viewing History Through America's Library,68.0,Photo,News
230,5ad1083a068401528a2a898a,"A Pregnancy, a Payment and a G.O.P. Resignation",68.0,Investigative,News
231,5ad0fff6068401528a2a896b,"A Step Ahead, Cuomo and Allies Spurn Party Before It Can Endorse Rival",68.0,Metro,News
232,5acf80e9068401528a2a822a,"On His Own, the Burgundy Iconoclast Laurent Ponsot Looks to Big Projects",68.0,Dining,News
233,5acf7e76068401528a2a8208,"Trading Snarl for Smile, Pompeo Makes Case to Lead State Dept.",68.0,Washington,News
235,5acf796b068401528a2a81b8,"Rice Balls, Subtle and Showy Alike, at Omusubi Gonbei",67.0,Dining,Review
236,5acf6f95068401528a2a813c,Washington Insider and Former Coal Lobbyist Becomes E.P.A. Deputy Chief,68.0,Climate,News
238,5acf60aa068401528a2a8082,Unknown,68.0,NewsDesk,News
239,5acf5f60068401528a2a8069,If Your House Punched the Clock,61.0,RealEstate,News
240,5acf5ccc068401528a2a8059,"Privacy Issue Rises to Fore, Vindicating Data Experts",68.0,Business,News
241,5acf58bb068401528a2a8029,Unknown,68.0,RealEstate,News
242,5acf5854068401528a2a8020,The Crossword Zoo: 10 Animals You Should Know,68.0,Games,News
243,5acf521f068401528a2a7fea,Unknown,68.0,National,briefing
244,5acf4a43068401528a2a7f8a,A Performer Who?™s Not Just Body and Snarl,68.0,Weekend,Review
245,5acf4599068401528a2a7f5f,Staring Down on Syria,68.0,OpEd,Op-Ed
246,5acf3cf7068401528a2a7f00,Pentagon Urges Greater Caution For Syria Strike,67.0,Washington,News
247,5acf2ea0068401528a2a7e34,A Better Body in a Pill? Experts Urge Caution on SARMs,68.0,Well,News
248,5acf2e27068401528a2a7e2f,Unknown,68.0,Metro,briefing
249,5acf2aa3068401528a2a7e12,Signs of a Political Armageddon,68.0,OpEd,Op-Ed
250,5acf2aa3068401528a2a7e13,Trump Wants America to Revert to the Queens of His Childhood,68.0,OpEd,Op-Ed
251,5acf2aa3068401528a2a7e14,Where #MeToo Should Go Next,68.0,OpEd,Op-Ed
252,5acf2aa3068401528a2a7e15,"Appointing Yet Another White, Male Director Is a Missed Opportunity for the Met",68.0,OpEd,Op-Ed
253,5acf2aa4068401528a2a7e16,Dissenting Against the Supreme Court?™s Rightward Shift,68.0,OpEd,Op-Ed
254,5acf2724068401528a2a7df7,Lots of Fish on the Screen,64.0,Styles,News
256,5acf201f068401528a2a7dca,Brooklyn Stalwart Heads West and North,68.0,Travel,News
257,5acf2020068401528a2a7dcc,A Phoenix Transplant Wages an All-Out Battle Against Sticker Shock,68.0,RealEstate, 'Teachers and School Employees'
258,5acf201e068401528a2a7dc5,House (and a Party) Upended as Speaker Calmly Takes His Leave,68.0,Washington,News
259,5acf2015068401528a2a7dbf,"36 Hours in Victoria, British Columbia",67.0,Travel,News
261,5acf1205068401528a2a7d86,"Portraits of Mestiza in Mexico, as They Wish to Be Seen",67.0,Photo,News
262,5acf04a6068401528a2a7d30,Fashion Comebacks,66.0,Learning,News
263,5acf0072068401528a2a7d13,Unknown,65.0,Smarter Living,News
264,5acee80f068401528a2a7c51,Is Now the Best Time in Human History to Be Alive?,68.0,Learning,News
265,5acee7d3068401528a2a7c4f,Morning People May Live Longer Than Night Owls,60.0,Well,News
266,5acecd93068401528a2a7b99,"?˜The Americans??Season 6, Episode 3 Recap: Moscow Believes in Beef Stew",67.0,Culture,News
267,5acebdaa068401528a2a7b3a,"Overlooked No More: Lin Huiyin and Liang Sicheng, Chroniclers of Chinese Architecture",64.0,Obits,News
268,5acebda3068401528a2a7b39,Unknown,68.0,Games,News
269,5aceba23068401528a2a7b17,The Silent Partner,67.0,Culture,Review
270,5aceb380068401528a2a7ae5,Headline a Tabloid Didn?™t Run Catches the Investigators??Eyes,66.0,Investigative,News
271,5aceb358068401528a2a7ae3,Pompeo Begins Charm Offensive Before His Senate Questioning,68.0,Washington,News
272,5aceac7d068401528a2a7ac1,America?™s Lethal Export,66.0,OpEd,Op-Ed
273,5aceabf8068401528a2a7abf,"In Tweets on Syria, Russia and China: Triumph of Contradiction",68.0,Washington,News
274,5acea763068401528a2a7a82,"Good Riddance, Mr. Speaker",68.0,OpEd,Op-Ed
276,5ace9ff9068401528a2a7a0e,Plan to Track Methane Leaks From Above,65.0,Climate,News
277,5ace9ad2068401528a2a79b3,"It?™s Not Too Late, Mr. Ryan",65.0,Editorial,Editorial
278,5ace9a71068401528a2a79b0,The U.S. Will Pay if Trump Fires Mueller,68.0,OpEd,Op-Ed
279,5ace94e8068401528a2a7978,Tugging on the Reins Of Facebook?™s Power,68.0,Business,News
280,5ace3536068401528a2a7488,She Has a Lot to Say (and Say and Say),68.0,Culture,Review
281,5ace2e45068401528a2a7437,"Alternative Health Plans, Fewer Rules",68.0,Upshot,News
282,5ace22c8068401528a2a7378,"Putin, or the World? Sanctions May Force Russian Oligarchs to Choose",68.0,Foreign,News
283,5ace215d068401528a2a7361,"Brutal Rape And Murder Of Girl, 8, Divides India",68.0,Foreign,News
284,5ace210c068401528a2a7353,Balaboosta to Close at End of May,68.0,Dining,News
285,5ace15e7068401528a2a722f,If These Doors Could Talk: Selling Portals Into Chelsea Hotel?™s Past,68.0,Metro,News
286,5ace1416068401528a2a7210,Police in France Begin Clearing Airport Protest Camp,63.0,Foreign,News
287,5ace0e39068401528a2a71d7,"$2.3 Million Homes in New York, Florida and Colorado",68.0,RealEstate,News
288,5ace0df5068401528a2a71d5,A Treehouse That?™s Off the Grid,68.0,RealEstate,News
289,5ace0774068401528a2a716f,Unknown,68.0,National,briefing
290,5ace047a068401528a2a7151,"For Ryan, Tax Cut Is Feather in His Cap, Trump an Albatross Around His Neck",68.0,Washington,News
291,5ace5775068401528a2a7611,"Ryan Will Retire, Scattering Hopes Of G.O.P. for 2018",68.0,Politics,News
292,5ace537d068401528a2a75c8,?˜Access Hollywood??Tape Said to Be Focus of Raid,68.0,Washington,News
293,5ad0f4a4068401528a2a8949,Former F.B.I. Deputy Director Is Faulted in Scathing Inspector General Report,66.0,Washington,News
294,5ad0f336068401528a2a8948,Former Cheney Aide Is Pardoned by Trump In C.I.A. Leak Case,68.0,Washington,News
295,5ad0eeda068401528a2a893c,Billionaire?™s Ambition Meets a City?™s Dream,68.0,National,News
